filtro;Region;team;mapa;seleccion;gano_map;pistol_atk;pistol_def;atk_propio;defensa_propia;atk_rival;def_rival;ganadas_totales;perdidas_totales;total_jugadas;torneo;stats_equipo;ranking;elo;rib_rank;rwr;rondas_ganadas_ano;rondas_perdidas_ano;rival;stats_equipo_rival;rating_rival;elo_rival;rib_rival;rwr_rival;rondas_ganadas_rival;rondas_perdidas_rival
1;Americas;NRG;Icebox;Propio;1;1;0;10;3;9;2;13;11;24;LOCK//IN;5.25;916;1816;1592;0.531468531;760;670;KOI;5.49;686;1355;1437;0.465116279;340;391
1;Americas;NRG;Haven;Rival;1;0;0;8;5;5;4;13;9;22;LOCK//IN;5.25;916;1816;1592;0.531468531;760;670;KOI;5.49;686;1355;1437;0.465116279;340;391
1;Pacific;DFM;Haven;Propio;0;0;0;4;0;5;8;4;13;17;LOCK//IN;5.77;624;1718;1307;0.384773663;187;299;Giants;5.77;827;1628;1586;0.513874615;500;473
1;Pacific;DFM;Icebox;Rival;0;0;0;3;4;8;5;7;13;20;LOCK//IN;5.77;624;1718;1307;0.384773663;187;299;Giants;5.77;827;1628;1586;0.513874615;500;473
1;China;FPX;Lotus;Propio;0;0;0;4;2;5;8;6;13;19;LOCK//IN;5.01;699;1863;1452;0.540880503;430;365;Karmine Corp;5.04;667;1335;1425;0.422190202;293;401
1;China;FPX;Haven;Rival;1;1;1;7;6;6;2;13;8;21;LOCK//IN;5.01;699;1863;1452;0.540880503;430;365;Karmine Corp;5.04;667;1335;1425;0.422190202;293;401
1;Pacific;DRX;Pearl;Propio;1;1;1;9;4;0;3;13;3;16;LOCK//IN;5.42;885;2000;1612;0.524355301;915;830;BBL;5.31;684;1426;1446;0.473421927;285;317
1;Pacific;DRX;Ascent;Rival;0;0;0;3;8;4;9;11;13;24;LOCK//IN;5.42;885;2000;1612;0.524355301;915;830;BBL;5.31;684;1426;1446;0.473421927;285;317
1;Pacific;Paper Rex;Lotus;Propio;0;0;1;5;3;6;7;8;13;21;LOCK//IN;5.86;976;2000;1705;0.528846154;715;637;Cloud9;5.78;752;1745;1610;0.536257833;599;518
0;Pacific;Paper Rex;Pearl;Rival;0;1;0;2;2;10;3;4;13;17;LOCK//IN;5.86;976;2000;1705;0.528846154;715;637;Cloud9;5.78;752;1745;1610;0.536257833;599;518
0;Americas;Evil Genius;Pearl;Propio;1;1;1;6;7;2;6;13;8;21;LOCK//IN;5.57;989;2000;1667;0.535262206;888;771;Heretics;5.26;663;1325;1392;0.439201452;242;309
1;Americas;Evil Genius;Ascent;Rival;1;1;0;6;7;5;3;13;8;21;LOCK//IN;5.57;989;2000;1667;0.535262206;888;771;Heretics;5.26;663;1325;1392;0.439201452;242;309
1;Americas;mibr;Haven;Propio;0;0;0;4;4;5;8;8;13;21;LOCK//IN;5.43;668;1554;1510;0.418772563;232;322;Talon;5.27;699;1664;1498;0.485714286;340;360
1;Americas;mibr;Fracture;Rival;0;0;1;5;6;6;7;11;13;24;LOCK//IN;5.43;668;1554;1510;0.418772563;232;322;Talon;5.27;699;1664;1498;0.485714286;340;360
0;Americas;LOUD;Pearl;Propio;1;1;0;8;5;7;2;13;9;22;LOCK//IN;5.61;944;2000;1655;0.537700865;870;748;Gen.G;5.38;700;1735;1457;0.464646465;414;477
1;Americas;LOUD;Fracture;Rival;1;0;0;9;5;8;4;14;12;26;LOCK//IN;5.61;944;2000;1655;0.537700865;870;748;Gen.G;5.38;700;1735;1457;0.464646465;414;477
1;Americas;NRG;Lotus;Propio;0;1;0;8;4;9;5;12;14;26;LOCK//IN;5.25;916;1816;1592;0.531468531;760;670;Giants;5.77;827;1628;1586;0.513874615;500;473
1;Americas;NRG;Haven;Rival;1;1;1;11;2;0;1;13;1;14;LOCK//IN;5.25;916;1816;1592;0.531468531;760;670;Giants;5.77;827;1628;1586;0.513874615;500;473
1;Americas;LOUD;Pearl;Propio;1;1;0;8;5;6;4;13;10;23;LOCK//IN;5.61;944;2000;1655;0.537700865;870;748;Karmine Corp;5.04;667;1335;1425;0.422190202;293;401
0;Americas;LOUD;Split;Rival;1;1;0;8;5;4;4;13;8;21;LOCK//IN;5.61;944;2000;1655;0.537700865;870;748;Karmine Corp;5.04;667;1335;1425;0.422190202;293;401
0;Americas;Cloud9;Pearl;Propio;1;1;1;4;9;3;0;13;3;16;LOCK//IN;5.78;752;1745;1610;0.536257833;599;518;DRX;5.42;885;2000;1612;0.524355301;915;830
1;Americas;Cloud9;Haven;Rival;0;0;0;4;3;9;4;7;13;20;LOCK//IN;5.78;752;1745;1610;0.536257833;599;518;DRX;5.42;885;2000;1612;0.524355301;915;830
0;Americas;Evil Genius;Haven;Propio;0;0;1;2;9;3;10;11;13;24;LOCK//IN;5.57;989;2000;1667;0.535262206;888;771;Talon;5.27;699;1664;1498;0.485714286;340;360
1;Americas;Evil Genius;Split;Rival;0;0;1;2;8;4;9;10;13;23;LOCK//IN;5.57;989;2000;1667;0.535262206;888;771;Talon;5.27;699;1664;1498;0.485714286;340;360
1;Americas;NRG;Split;Propio;0;0;0;0;3;9;4;3;13;16;LOCK//IN;5.25;916;1816;1592;0.531468531;760;670;LOUD;5.61;944;2000;1655;0.537700865;870;748
0;Americas;NRG;Pearl;Rival;1;0;1;8;7;7;6;15;13;28;LOCK//IN;5.25;916;1816;1592;0.531468531;760;670;LOUD;5.61;944;2000;1655;0.537700865;870;748
0;Pacific;Talon;Fracture;Propio;1;0;0;5;8;4;6;13;10;23;LOCK//IN;5.27;699;1664;1498;0.485714286;340;360;DRX;5.42;885;2000;1612;0.524355301;915;830
1;Pacific;Talon;Ascent;Rival;0;0;1;0;6;6;7;6;13;19;LOCK//IN;5.27;699;1664;1498;0.485714286;340;360;DRX;5.42;885;2000;1612;0.524355301;915;830
1;Pacific;Team Secret;Icebox;Propio;1;1;1;3;10;2;6;13;8;21;LOCK//IN;5.37;722;1652;1491;0.498759305;402;404;Liquid;5.33;854;1650;1586;0.501798561;558;554
1;Pacific;Team Secret;Fracture;Rival;1;0;1;4;9;3;4;13;7;20;LOCK//IN;5.37;722;1652;1491;0.498759305;402;404;Liquid;5.33;854;1650;1586;0.501798561;558;554
1;Americas;KRU;Ascent;Propio;0;1;0;2;3;9;4;5;13;18;LOCK//IN;5.46;786;1685;1436;0.485776805;444;470;Navi;5.49;828;1636;1572;0.511610487;683;652
0;Americas;KRU;Lotus;Rival;0;0;0;9;1;10;3;10;13;23;LOCK//IN;5.46;786;1685;1436;0.485776805;444;470;Navi;5.49;828;1636;1572;0.511610487;683;652
1;Americas;Leviatan;Ascent;Propio;1;1;0;10;3;2;2;13;4;17;LOCK//IN;5.47;710;2000;1540;0.493414387;487;500;Zeta Division;5.21;812;1650;1514;0.480140187;411;445
0;Americas;Leviatan;Pearl;Rival;1;1;1;7;6;6;5;13;11;24;LOCK//IN;5.47;710;2000;1540;0.493414387;487;500;Zeta Division;5.21;812;1650;1514;0.480140187;411;445
1;Pacific;Global;Split;Propio;0;1;1;1;3;9;4;4;13;17;LOCK//IN;5.75;683;1444;1447;0.497512438;300;303;Vitality;5.43;673;1418;1457;0.487256372;352;342
1;Pacific;Global;Pearl;Rival;1;1;1;5;8;7;2;13;9;22;LOCK//IN;5.75;683;1444;1447;0.497512438;300;303;Vitality;5.43;673;1418;1457;0.487256372;352;342
1;Pacific;Rex Regnum;Lotus;Propio;0;0;0;2;1;3;10;3;13;16;LOCK//IN;5.44;702;1539;1455;0.486821705;314;331;Fut;5.39;847;1668;1587;0.5;567;567
1;Pacific;Rex Regnum;Pearl;Rival;0;1;0;7;4;8;5;11;13;24;LOCK//IN;5.44;702;1539;1455;0.486821705;314;331;Fut;5.39;847;1668;1587;0.5;567;567
1;Americas;100 Thieves;Icebox;Propio;1;1;0;5;8;4;6;13;10;23;LOCK//IN;5.55;701;1666;1484;0.468085106;352;400;Eduard;5.2;752;2000;1566;0.551373955;923;751
1;Americas;100 Thieves;Lotus;Rival;0;0;1;7;2;8;5;9;13;22;LOCK//IN;5.55;701;1666;1484;0.468085106;352;400;Eduard;5.2;752;2000;1566;0.551373955;923;751
1;EMEA;Fnatic;Haven;Propio;1;0;1;4;9;3;3;13;6;19;LOCK//IN;5.78;988;2000;1771;0.587324982;797;560;Sentinels;5.88;700;1796;1463;0.466582598;370;423
