Match ID;Region;Team;Pick;pick rival;pick Decider;Orden pick;Gano mapa Propio;gano mapa Rival;gano Decider;pick propio Pistol atk;Pick propio Pistol def;pick propio Atk propio;pick propio Defensa propia;pick propio Atk rival;pick propio Def rival;pick rival Pistol Atk;pick rival Pisto Def;pick rival Atk propio;pick rival Defensa propia; pick rival Atk rival;pick rival  Def rival;pick decider Pistol Atk;pick decider Pisto Def;pick decider Atk propio;pick decider Defensa propia;pick decider Atk rival;pick decider Def rival;Torneo;Stats equipo;;;;;;;;;;;
M-1;Americas;NRG;Icebox;Haven;Pearl;1ro;1;1;No jugado;1;0;10;3;9;2;0;0;8;5;5;4;;;;;;;LOCK//IN;5.25;;;;;;;;;;;
M-1;EMEA;KOI;Haven;Icebox;Pearl;2do;0;0;No jugado;1;1;5;4;8;5;1;0;9;2;10;3;;;0;0;0;0;LOCK//IN;5.49;;;;;;;;;;;
M-2;Pacific;DFM;Haven;Icebox;Pearl;1ro;0;0;No jugado;0;0;4;0;5;8;0;0;3;4;8;5;;;;;;;LOCK//IN;5.77;;;;;;;;;;;
M-2;EMEA;Giants;Icebox;Haven;Pearl;2do;1;1;No jugado;1;1;8;5;3;4;1;1;5;8;4;0;;;0;0;0;0;LOCK//IN;5.77;;;;;;;;;;;
M-3;China;FPX;Lotus;Haven;Pearl;1ro;0;1;0;0;0;4;2;5;8;1;1;7;6;6;2;0;1;1;5;7;6;LOCK//IN;5.01;;;;;;;;;;;
M-3;EMEA;Karmine Corp;Haven;Lotus;Pearl;2do;0;1;1;0;0;6;2;7;6;1;1;5;8;4;2;0;1;7;6;1;5;LOCK//IN;5.04;;;;;;;;;;;
M-4;Pacific;DRX;Pearl;Ascent;Haven;1ro;1;0;1;1;1;9;4;0;3;0;0;3;8;4;9;1;0;11;2;6;1;LOCK//IN;5.42;;;;;;;;;;;
M-4;EMEA;BBL;Ascent;Pearl;Haven;2do;1;0;0;1;1;4;9;3;8;0;0;0;3;9;4;1;0;6;1;11;2;LOCK//IN;5.31;;;;;;;;;;;
M-5;Pacific;Paper Rex;Lotus;Pearl;Fracture;1ro;0;0;No jugado;0;1;5;3;6;7;1;0;2;2;10;3;;;;;;;LOCK//IN;5.86;;;;;;;;;;;
M-5;Americas;Cloud9;Pearl;Lotus;Fracture;2do;1;1;No jugado;1;0;10;3;2;2;0;1;6;7;5;3;;;0;0;0;0;LOCK//IN;5.78;;;;;;;;;;;
M-6;Americas;Evil Genius;Pearl;Ascent;Haven;1ro;1;1;No jugado;1;1;6;7;2;6;1;0;6;7;5;3;;;;;;;LOCK//IN;5.57;;;;;;;;;;;
M-6;EMEA;Heretics;Ascent;Pearl;Haven;2do;0;0;No jugado;1;0;5;3;6;7;0;0;2;6;6;7;;;0;0;0;0;LOCK//IN;5.26;;;;;;;;;;;
M-7;Americas;mibr;Haven;Fracture;Icebox;1ro;0;0;No jugado;0;0;4;4;5;8;0;1;5;6;6;7;;;;;;;LOCK//IN;5.43;;;;;;;;;;;
M-7;Pacific;Talon;Fracture;Haven;Icebox;2do;1;1;No jugado;0;1;6;7;5;6;1;1;5;8;4;4;;;0;0;0;0;LOCK//IN;5.27;;;;;;;;;;;
M-8;Americas;LOUD;Pearl;Fracture;Split;1ro;1;1;No jugado;1;0;8;5;7;2;0;0;9;5;8;4;;;;;;;LOCK//IN;5.61;;;;;;;;;;;
M-8;Pacific;Gen.G;Fracture;Pearl;Split;2do;0;0;No jugado;1;1;8;4;9;5;1;0;7;2;8;5;;;0;0;0;0;LOCK//IN;5.38;;;;;;;;;;;
M-9;Americas;NRG;Lotus;Haven;Icebox;1ro;0;1;1;1;0;8;4;9;5;1;1;11;2;0;1;1;0;4;9;3;4;LOCK//IN;5.25;;;;;;;;;;;
M-9;EMEA;Giants;Haven;Lotus;Icebox;2do;0;1;0;0;0;0;1;11;2;1;0;9;5;8;4;1;0;3;4;4;9;LOCK//IN;5.77;;;;;;;;;;;
M-10;Americas;LOUD;Pearl;Split;Fracture;1ro;1;1;No jugado;1;0;8;5;6;4;1;0;8;5;4;4;;;;;;;LOCK//IN;5.61;;;;;;;;;;;
M-10;EMEA;Karmine Corp;Split;Pearl;Fracture;2do;0;0;No jugado;1;0;4;4;8;5;1;0;6;4;8;5;;;0;0;0;0;LOCK//IN;5.04;;;;;;;;;;;
M-11;Americas;Cloud9;Pearl;Haven;Icebox;1ro;1;0;0;1;1;4;9;3;0;0;0;4;3;9;4;1;0;1;1;11;2;LOCK//IN;5.78;;;;;;;;;;;
M-11;Pacific;DRX;Haven;Pearl;Icebox;2do;1;0;1;1;1;9;4;4;3;0;0;3;0;4;9;1;0;11;2;1;1;LOCK//IN;5.42;;;;;;;;;;;
M-12;Americas;Evil Genius;Haven;Split;Icebox;1ro;0;0;No jugado;0;1;2;9;3;10;0;1;2;8;4;9;;;;;;;LOCK//IN;5.57;;;;;;;;;;;
M-12;Pacific;Talon;Split;Haven;Icebox;2do;1;1;No jugado;0;1;4;9;2;8;0;1;3;10;2;9;;;0;0;0;0;LOCK//IN;5.27;;;;;;;;;;;
M-13;Americas;NRG;Split;Pearl;Fracture;1ro;0;1;0;0;0;0;3;9;4;0;1;8;7;7;6;0;0;9;7;10;8;LOCK//IN;5.25;;;;;;;;;;;
M-13;Americas;LOUD;Pearl;Split;Fracture;2do;0;1;1;0;1;7;6;8;7;1;1;9;4;0;3;1;1;10;8;9;7;LOCK//IN;5.61;;;;;;;;;;;
M-14;Pacific;Talon;Fracture;Ascent;Icebox;1ro;1;0;0;0;0;5;8;4;6;0;1;0;6;6;7;0;1;5;5;7;6;LOCK//IN;5.27;;;;;;;;;;;
M-14;Pacific;DRX;Ascent;Fracture;Icebox;2do;1;0;1;0;1;6;7;0;6;1;1;4;6;5;8;0;1;7;6;5;5;LOCK//IN;5.42;;;;;;;;;;;
M-15;Pacific;Team Secret;Icebox;Fracture;Lotus;1ro;1;1;No jugado;1;1;3;10;2;6;0;1;4;9;3;4;;;;;;;LOCK//IN;5.37;;;;;;;;;;;
M-15;EMEA;Liquid;Fracture;Icebox;Lotus;2do;0;0;No jugado;0;1;3;4;4;9;0;0;2;6;3;10;;;0;0;0;0;LOCK//IN;5.33;;;;;;;;;;;
M-16;Americas;KRU;Ascent;Lotus;Pearl;1ro;0;0;No jugado;1;0;2;3;9;4;0;0;9;1;10;3;;;;;;;LOCK//IN;5.46;;;;;;;;;;;
M-16;EMEA;Navi;Lotus;Ascent;Pearl;2do;1;1;No jugado;1;1;10;3;9;1;1;0;9;4;2;3;;;0;0;0;0;LOCK//IN;5.49;;;;;;;;;;;
M-17;Americas;Leviatan;Ascent;Pearl;Haven;1ro;1;1;No jugado;1;0;10;3;2;2;1;1;7;6;6;5;;;;;;;LOCK//IN;5.47;;;;;;;;;;;
M-17;Pacific;Zeta Division;Pearl;Ascent;Haven;2do;0;0;No jugado;0;0;6;5;7;6;1;0;2;2;10;3;;;0;0;0;0;LOCK//IN;5.21;;;;;;;;;;;
M-18;Pacific;Global;Split;Pearl;Lotus;1ro;0;1;0;1;1;1;3;9;4;1;1;5;8;7;2;1;1;2;4;8;5;LOCK//IN;5.75;;;;;;;;;;;
M-18;EMEA;Vitality;Pearl;Split;Lotus;2do;0;1;1;0;0;7;2;5;8;0;0;9;4;1;3;0;0;8;5;2;4;LOCK//IN;5.43;;;;;;;;;;;
M-19;Pacific;Rex Regnum;Lotus;Pearl;Split;1ro;0;0;No jugado;0;0;2;1;3;10;1;0;7;4;8;5;;;;;;;LOCK//IN;5.44;;;;;;;;;;;
